artist_id,year_end_score,is_pop,year,artist_name,parent_genre
0f5nVCcR06GX8Qikz0COtT,306,0,2014,Omarion,Pop
1ZwdS5xdxEREPySFridCfh,305,0,2014,2Pac,Hip Hop
6rnbB5fuUuCSsspvFsxIpT,304,0,2014,Cloud Nothings,Rock
5Mq7iqCWBzofK39FBqblNc,304,0,2014,Jessie Ware,Blues & Soul
1aoy0R8uP3x33eqKZOLpN1,302,0,2014,Lincoln Brewster,Christian
4wQ3PyMz3WwJGI5uEqHUVR,302,0,2014,The Allman Brothers Band,Rock
7nDsS0l5ZAzMedVRKPP8F1,301,0,2014,Ella Henderson,Pop
1f2e3RQf7LHOum8NU61q0R,299,0,2014,Kem,R&B & Funk
3LVPGE5jPPwtbGslx07YR0,298,0,2014,Kishi Bashi,Pop
2DuJi13MWHjRHrqRUwk8vH,296,0,2014,Knife Party,Electronic
2BTZIqw0ntH9MvilQ3ewNY,294,0,2014,Cyndi Lauper,Pop
23NIwARd4vPbxt3wwNnJ6k,294,0,2014,Parquet Courts,Rock
1md9aYaJ6Qt1FHypXICB5V,293,0,2014,Emblem3,Pop
6iDaoPZVgxrTkndDCisX8F,288,0,2014,Keb' Mo',Blues & Soul
4hf3caW9H8uFwwbv5pFjcg,287,0,2014,Jake Bugg,Rock
47zz7sob9NUcODy0BTDvKx,287,0,2014,Sade,Blues & Soul
5dZiRoY9Vpp6qrxqXNRwPE,286,0,2014,Selah,Christian
5nPOO9iTcrs9k6yFffPxjH,285,0,2014,Röyksopp,Electronic
19ra5tSw0tWufvUp8GotLo,284,0,2014,George Michael,Electronic
6NxcE1vZdlUZCnuitqIuHS,282,0,2014,Hedwig & The Angry Inch,Other
7guDJrEfX3qb6FEbdPA5qi,281,0,2014,Stevie Wonder,R&B & Funk
4TKTii6gnOnUXQHyuo9JaD,280,0,2014,Sheryl Crow,Pop
6d24kC5fxHFOSEAmjQPPhc,280,0,2014,Periphery,Rock
4OrieSJUghNfNx5UuPCgxF,277,0,2014,Robin Williams,Other
0t3QQl52F463sxGXb1ckhB,277,0,2014,Betty Who,Electronic
34Y0ldeyUv7jBvukWOGASO,272,0,2014,Bobby Shmurda,Hip Hop
4sj6D0zlMOl25nprDJBiU9,266,0,2014,Andy Williams,Jazz
7tkwiWhGKSuQV8LwPWceWN,264,0,2014,Craig Campbell,Country & Folk
3t5xRXzsuZmMDkQzgOX35S,256,0,2014,Robin Schulz,Pop
1YTe4dNIoWX3iHX8H4xVeM,247,0,2014,Jerry Garcia Band,Country & Folk
2DzRMyWgjuMbYvt5BLbpCo,244,0,2014,Anthony Hamilton,Blues & Soul
1Zatb2YN4erBOoSivOXc0o,243,0,2014,O.T. Genasis,Hip Hop
23OFz99wX0NDBBwrxthLWU,232,0,2014,The Lacs,Hip Hop
6FbDoZnMBTdhhhLuJBOOqP,226,0,2014,Jewel,Rock
0JDkhL4rjiPNEp92jAgJnS,224,0,2014,Roy Orbison,Jazz
3Bd1cgCjtCI32PYvDC3ynO,222,0,2014,London Grammar,Rock
31HpswGOiF0Mc2wm11sIoN,218,0,2014,Copeland,Rock
2AM4ilv6UzW0uMRuqKtDgN,214,0,2014,ZZ Top,Rock
5ujCegv1BRbEPTCwQqFk6t,213,0,2014,John Fogerty,Blues & Soul
0TJB3EE2efClsYIDQ8V2Jk,212,0,2014,Elbow,Pop
0pjLiK5qb4Zr0PWRNkdd2o,205,0,2014,Gaither Vocal Band,Christian
4mxWe1mtYIYfP040G38yvS,203,0,2014,Alan Jackson,Country & Folk
