year,is_billboard,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_speechiness,avg_acousticness,avg_loudness,avg_duration_min,explicit_percentage,total_songs
2002,0,0.568758,0.596467403,0.53828773,116.821964,0.09465303,0.336099909,-8.8921282,4.06196777,8.0162,14059
2002,1,0.6085246,0.670295081,0.58124809,114.9542978,0.0859623,0.221331907,-6.8070574,3.90651617,14.7541,366
2003,0,0.5616868,0.591786509,0.52687837,118.0006419,0.09537727,0.345285646,-8.9479817,4.04829606,7.7429,15369
2003,1,0.5995588,0.670482843,0.58054191,119.3518701,0.09021005,0.233004145,-7.0424975,3.90366708,10.7843,408
2004,0,0.5643452,0.602128608,0.52749933,117.9796382,0.10189282,0.335614356,-8.7326432,4.04323064,9.2605,16997
2004,1,0.6248621,0.687300795,0.59108488,119.291634,0.09573289,0.208794337,-6.7345836,3.90288453,18.3024,377
2005,0,0.5683386,0.579544115,0.55557711,118.7368375,0.095452,0.367178021,-9.3410816,3.85071058,8.3377,25091
2005,1,0.5946647,0.635617142,0.60188195,120.9747083,0.08004391,0.271247226,-7.9538481,3.65920629,11.5789,665
2006,0,0.5500256,0.584144455,0.51836398,118.4110932,0.09834388,0.359321444,-9.1431818,3.90868331,8.0672,26800
2006,1,0.6004319,0.664209404,0.59616411,120.748977,0.084819,0.232599831,-7.1734818,3.8068183,11.9002,521
2007,0,0.5719373,0.603969642,0.53452094,119.3762137,0.09199024,0.335632119,-8.7048145,3.94277063,6.9236,24756
2007,1,0.6030248,0.663042553,0.60582535,121.3925603,0.07602074,0.249551433,-7.3383457,3.71600937,10.461,564
2008,0,0.5635807,0.580993314,0.51333964,119.8534754,0.0847023,0.350296107,-9.0705313,3.90300442,6.8076,30378
2008,1,0.5969413,0.686728748,0.58167094,124.2471236,0.07169304,0.213536858,-6.7750015,3.73966875,10.2009,647
2009,0,0.5697277,0.583255621,0.53432221,120.7279685,0.08063955,0.332764013,-9.5133431,3.88899892,6.4406,35012
2009,1,0.5945303,0.675780732,0.58484952,122.9133631,0.07710685,0.219347502,-7.2237373,3.78675449,11.3057,628
2010,0,0.5790951,0.593609695,0.53921526,121.6579462,0.08095833,0.317413848,-9.2387275,3.88147707,7.5914,38175
2010,1,0.5880115,0.670913682,0.56310524,121.9301087,0.07532046,0.230840725,-7.3182852,3.74432867,10.2302,782
2011,0,0.5840853,0.556145149,0.51559565,122.0136917,0.0751095,0.315827076,-10.0667059,3.87675248,5.8071,54175
2011,1,0.5930237,0.644023324,0.58826327,121.7966788,0.06580712,0.269153746,-7.993,3.63599167,6.5642,716
2012,0,0.5824163,0.55425036,0.51169482,121.5322135,0.0689794,0.315184047,-9.7661103,3.75489702,5.3477,73545
2012,1,0.6047569,0.623310416,0.55821649,120.9487778,0.05850365,0.229460698,-8.0874635,3.68408903,7.4653,576
2013,0,0.5896367,0.52695193,0.5242442,121.6207042,0.05664027,0.301884351,-10.4451293,3.65785145,3.4015,132528
2013,1,0.5895182,0.608645007,0.56589984,122.7899952,0.06520048,0.264170002,-8.7303059,3.74577052,8.2409,631
