song_id,year_end_score,is_pop,year,artist_id,song_name,artist_name,parent_genre
1wkGTsSqUhvvXgi0yX9haQ,233,0,2009,2iojnBLj0qIMiKPvVhLnsH,Say Aah (feat. Fabolous),Trey Songz,Pop
1yK9LISg5uBOOW5bT2Wm0i,229,0,2009,3DiDSECUqqY1AuBP8qtaIa,Try Sleeping with a Broken Heart,Alicia Keys,Pop
6nEcGnpDVVkUlCSeVSAUry,228,0,2009,51THHWH97iA2ISvNxUn6Gs,Shuttin' Detroit Down,John Rich,Country & Folk
3iL2l5gUqyPS6vDwJFgJTR,228,0,2009,5OrB6Jhhrl9y2PK0pSV4VP,BedRock,Young Money,Hip Hop
3IVpF7FvRxuOFH9RvY4wrK,221,0,2009,3SYGWAHCe31oykdeUPpoJp,About You Now,Miranda Cosgrove,Pop
0COfLFERqoeYqMqolKc2It,218,0,2009,0GRelLAVHzwasg0Ja7gJUy,Telephone (As Made Famous by Lady Gaga Featuring Beyonce),The Karaoke Crew,Other
619bJQ9uDi8dnXzLebFI7y,210,0,2009,1Cs0zKBU1kc0i8ypK3B9ai,When Love Takes Over (feat. Kelly Rowland),David Guetta,Pop
01Ynfp1UOc9Tep3a25ySqX,209,0,2009,55Aa2cqylxrFIXC767Z865,Hot Revolver,Lil Wayne,Hip Hop
7lIyBKp2KX7ABDjDfo9EtL,209,0,2009,13saZpZnCDWOI9D4IJhp1f,The Fear,Lily Allen,Pop
4gJxLdiZXkKiSbvpFHNu8n,202,0,2009,5lKZWd6HiSCLfnDGrq9RAm,I Will Be,Leona Lewis,Pop
1J4HTEFSDx9DWyJVH5uv1b,198,0,2009,7FY5V3XMwlNBPitEjXowHQ,History In The Making,Darius Rucker,Country & Folk
2PN3gbuBn5WBEwrEJH3xiu,197,0,2009,3UVRliakQfa1pMWIsNuiZ8,sobeautiful,Musiq Soulchild,Pop
0yIywEquxORnu1dR0WYsdN,197,0,2009,1uNFoZAHBGtllmzznpCI3s,Love Me,Justin Bieber,Pop
3CJdDqehVinU810wsTjt6v,197,0,2009,51Blml2LZPmy7TTiAg47vQ,Get On Your Boots,U2,Rock
446Opstox0MKqjsstafSRH,195,0,2009,5PokPZn11xzZXyXSfnvIM3,Broken,Lifehouse,Rock
51sAyKNqp9QI3fq8vaHfIP,194,0,2009,6A0fDIT1PphHIsNz4KfIK0,Sounds Like Life to Me (Karaoke Version),Ameritz Karaoke Entertainment,Other
2ySDKHsjXDrvEOtgEW2YWg,194,0,2009,6XpaIBNiVzIetEPCWDvAFP,I Look to You,Whitney Houston,Pop
7xZa00kpFR3r7UqeczbVPE,193,0,2009,7gOdHgIoIKoe4i9Tta6qdD,Tonight,Jonas Brothers,Pop
7hQHvBW5TllV3XAr3m4G0C,191,0,2009,26T3LtbuGT1Fu9m0eRq5X3,Ain't No Rest for the Wicked,Cage The Elephant,Rock
2VkD1v3tYy51yHdalZzEgJ,188,0,2009,6vdMPayKk8YJxxeNP5oMCb,Good Morning,Chamillionaire,Hip Hop
7zqM7Wm2xJLZ50qAnTLoHD,180,0,2009,7gSjFKpVmDgC2MMsnN8CYq,"Lions, Tigers & Bears",Jazmine Sullivan,R&B & Funk
5DWmvAL8WPuncj8tSxFVNC,177,0,2009,738OS3zrCO782uDiUN9pet,Last Call,Lee Ann Womack,Country & Folk
2Dz5WpEWA0vhnMmEPYiZ2y,175,0,2009,2PCUhxD40qlMqsKHjTZD2e,She Is Love,Parachute,Pop
10xcIQQEJSEIOgG1HvS3t9,169,0,2009,0C8ZW7ezQVs4URX5aX7Kqx,Magic,Selena Gomez,Pop
43wOnyLJcwYfKVNxXZWPDz,167,0,2009,0SCbttzoZTnLFebDYmAWCm,Somebody To Love (Glee Cast Version) - Cover of Queen Song,Glee Cast,Other
4I1P0QQcNEaWXstahyUaPp,167,0,2009,2GHclqNVjqGuiE5mA7BEoc,Universal Mind Control (UMC),Common,Hip Hop
3mtD9289UiIcGWu6BOvS1t,166,0,2009,3jOstUTkEu2JkjvRdBA5Gu,(If You're Wondering If I Want You To) I Want You To,Weezer,Rock
6ovFJkdau79DuXEvQjPaNH,166,0,2009,06HL4z0CvFAxyc27GXpf02,Untouchable,Taylor Swift,Pop
0n6Rakh2ND1JR03sXEviS2,166,0,2009,5xenrbYhp4IRydrWpBe4Bx,Regret,LeToya,R&B & Funk
0m0FYyIbSDiASOlQ64GDO5,163,0,2009,4M6Z1wubeKtwPqbjJygTOc,T-Shirt - Main,Shontelle,Pop
3u0iJcNE8fHupAO2OOqGlC,159,0,2009,6uSKeCyQEhvPC2NODgiqFE,Everybody Wants to Go to Heaven (with The Wailers),The Wailers,Reggae
1yDJcXc549N6AabNBzFAku,158,0,2009,06HL4z0CvFAxyc27GXpf02,The Other Side Of The Door,Taylor Swift,Pop
0W9Xvd4Qx1aZPxEi94vgRY,157,0,2009,70BYFdaZbEKbeauJ670ysI,Sound of Madness,Shinedown,Rock
7bppBAD4NHqVqzXkrkZVxY,156,0,2009,4SQxI8xg6LcSWL3KuGVHLa,Permanent,David Cook,Pop
7hR5toSPEgwFZ78jfHdANM,154,0,2009,0hEurMDQu99nJRq8pTxO14,Half of My Heart,John Mayer,R&B & Funk
5j6ODxGVhAWeCS49bBKuxz,154,0,2009,6DPYiyq5kWVQS4RGwxzPC7,Old Time's Sake,Dr. Dre,Hip Hop
4nTjkWK590oBDcnIxTr1mI,152,0,2009,1uNFoZAHBGtllmzznpCI3s,Favorite Girl,Justin Bieber,Pop
4mIwoDxYxRJ2off7985qJC,151,0,2009,1W3FSF1BLpY3hlVIgvenLz,Walkin' On The Moon,The-Dream,Pop
6zJ8Kn97fZhj10pdHs4X8r,150,0,2009,3P33qFNGBVXl86yQYWspFj,Ride,Martina McBride,Country & Folk
0XjXQDJpajDzCdpazp1562,149,0,2009,1n2pb9Tsfe4SwAjmUac6YT,Eight Second Ride,Jake Owen,Country & Folk
4EW8simi1XfAph3nfsaPzz,144,0,2009,0SCbttzoZTnLFebDYmAWCm,It's My Life / Confessions Part II (Glee Cast Version),Glee Cast,Other
6qU37BgVfPhpb2rhYzZWrF,140,0,2009,4O2YL4ygn6eTBC0w1hyWUM,It Kills Me,Melanie Fiona,Pop
5VHdgl9hFUmabiCO5jeISv,139,0,2009,06HL4z0CvFAxyc27GXpf02,Forever & Always,Taylor Swift,Pop
5J0d605KKCz4x8zbUKTaPe,137,0,2009,7nU4hB040gTmHm45YYMvqc,Let's Get Crazy,Hannah Montana,Pop
7uPQU7uKvsZZ7T9XnpBpFg,136,0,2009,3aBkeBhwadnWMWoVJ2CxJC,Someday,Rob Thomas,Pop
3F8xLc6T4VvKH7I6wqVAN2,131,0,2009,7gOdHgIoIKoe4i9Tta6qdD,Lovebug,Jonas Brothers,Pop
0hB1uwlVqGQCKaFGcTs6Tg,121,0,2009,0C8ZW7ezQVs4URX5aX7Kqx,Tell Me Something I Don't Know,Selena Gomez,Pop
6tVwi09OwB7zVYV0NUajeP,119,0,2009,58lV9VcRSjABbAbfWS6skp,We Weren't Born To Follow,Bon Jovi,Rock
3SK0wdiECK6UltzbYm2rkd,115,0,2009,7bXgB6jMjp9ATFy66eO08Z,Crawl,Chris Brown,Pop
4xNfsvj9mOVnMTvHZZ8HNk,112,0,2009,6BMhCQJYHxxKAeqYS1p5rY,Without You,Hinder,Rock
6vMiU1tMnWXkWlmMWjX6ZN,105,0,2009,66lH4jAE7pqPlOlzUKbwA0,More Like Her,Miranda Lambert,Country & Folk
16sbugRbf9xEKlekuQ7Whm,104,0,2009,1yxSLGMDHlW21z4YXirZDS,Imma Be,The Black Eyed Peas,Pop
35SuLFF1dk9nBgjE2HzTzp,103,0,2009,5P5FTygHyx2G57oszR3Wot,What About Now,Daughtry,Rock
4GXH9A6fzuE0MNtqtzjhLg,100,0,2009,55Aa2cqylxrFIXC767Z865,My Life,Lil Wayne,Hip Hop
2DHc2e5bBn4UzY0ENVFrUl,98,0,2009,31TPClRtHm23RisEBtV3X7,Carry Out (Featuring Justin Timberlake),Justin Timberlake,Pop
2GGXna7FXpFGhFfeuCijZ0,98,0,2009,3q7HBObVc0L8jNeTe5Gofh,I Get It In,50 Cent,Hip Hop
15PRxID4aGtOncbffzgZXI,97,0,2009,06HL4z0CvFAxyc27GXpf02,Fearless,Taylor Swift,Pop
0m3Ze0cy8qBHSsV2exAfCw,94,0,2009,4yBK75WVCQXej1p04GWqxH,Amazing,Jeezy,Hip Hop
7g8OpS827dAYU067lZaR0L,92,0,2009,4xFUf1FHVy696Q1JQZMTRj,Just a Dream,Carrie Underwood,Country & Folk
2p07VcUwRZ5sru3mJ0JogS,90,0,2009,7vCtweS8UVAXTyau2j0rDT,Why Don't We Just Dance,Josh Turner,Country & Folk
