year,genre,word,count
1964,Jazz,lionel,274
1964,Jazz,black,272
1964,Latin,que,7
1964,Latin,angel,5
1964,Latin,love,4
1964,Latin,angelito,4
1964,Latin,llegaste,2
1964,Latin,know,2
1964,Latin,ive,2
1964,Latin,never,2
1964,Latin,eres,2
1964,Latin,tell,2
1964,Latin,soñe,2
1964,Latin,rain,2
1964,Latin,por,2
1964,Latin,para,2
1964,Latin,déjame,2
1964,Latin,dicha,2
1964,Latin,decir,2
1964,Latin,corazón,2
1964,Latin,conocía,2
1964,Latin,aprendí,2
1964,Latin,antes,2
1964,Latin,amor,2
1964,Latin,así,1
1964,Latin,amanecer,1
1964,Latin,azul,1
1964,Other,love,32
1964,Other,youre,31
1964,Other,tell,26
1964,Other,pieces,24
1964,Other,say,21
1964,Other,lazy,21
1964,Other,know,20
1964,Other,lady,20
1964,Other,work,16
1964,Other,back,14
1964,Other,get,13
1964,Other,time,13
1964,Other,dont,13
1964,Other,name,13
1964,Other,coming,12
1964,Other,gotta,12
1964,Other,long,12
1964,Other,bits,12
1964,Other,little,11
1964,Other,bed,10
1964,Other,see,10
1964,Other,never,10
1964,Other,let,10
1964,Other,fanna,9
1964,Other,fee,9
1964,Pop,know,451
1964,Pop,love,449
1964,Pop,man,425
1964,Pop,got,331
1964,Pop,get,324
1964,Pop,one,315
1964,Pop,right,277
1964,Pop,say,244
1964,Pop,well,237
1964,Pop,good,230
1964,Pop,time,229
1964,Pop,way,227
1964,Pop,see,227
1964,Pop,tell,226
1964,Pop,come,226
1964,Pop,little,225
1964,Pop,never,218
1964,Pop,dont,212
1964,Pop,said,207
1964,Pop,would,205
1964,Pop,back,199
1964,Pop,thats,186
1964,Pop,could,178
1964,Pop,hes,172
1964,Pop,let,165
1964,R&B & Funk,says,382
1964,R&B & Funk,joe,120
1964,R&B & Funk,one,107
1964,R&B & Funk,brown,94
1964,R&B & Funk,citizen,87
1964,R&B & Funk,old,86
1964,R&B & Funk,bloody,74
1964,R&B & Funk,please,71
1964,R&B & Funk,man,67
1964,R&B & Funk,love,67
1964,R&B & Funk,dont,67
1964,R&B & Funk,bloom,64
1964,R&B & Funk,would,63
1964,R&B & Funk,good,60
1964,R&B & Funk,know,58
1964,R&B & Funk,alf,57
1964,R&B & Funk,time,56
1964,R&B & Funk,got,54
1964,R&B & Funk,two,53
1964,R&B & Funk,music,52
1964,R&B & Funk,new,52
1964,R&B & Funk,said,52
1964,R&B & Funk,thats,50
1964,R&B & Funk,see,49
1964,R&B & Funk,little,49
1964,Reggae,lollipop,11
1964,Reggae,love,11
1964,Reggae,boy,10
1964,Reggae,sweet,9
1964,Reggae,william,8
1964,Reggae,need,7
1964,Reggae,heart,4
1964,Reggae,hes,4
1964,Reggae,ill,4
1964,Reggae,never,4
1964,Reggae,whoa,4
1964,Reggae,yes,4
1964,Reggae,let,3
1964,Reggae,know,3
1964,Reggae,giddyup,3
1964,Reggae,make,3
1964,Reggae,dont,2
1964,Reggae,instrumental,2
1964,Reggae,fire,2
1964,Reggae,favorite,2
1964,Reggae,little,2
1964,Reggae,thrill,2
1964,Reggae,world,2
1964,Reggae,want,2
1964,Reggae,toy,2
1964,Rock,bond,470
1964,Rock,day,284
1964,Rock,one,257
1964,Rock,said,218
1964,Rock,love,201
1964,Rock,natalya,201
1964,Rock,mow,175
1964,Rock,feat,172
1964,Rock,time,165
1964,Rock,night,160
1964,Rock,alec,148
1964,Rock,know,147
1964,Rock,thou,138
1964,Rock,war,136
1964,Rock,come,133
1964,Rock,little,131
1964,Rock,back,130
1964,Rock,well,128
1964,Rock,would,112
1964,Rock,james,111
1964,Rock,nbsp,110
1964,Rock,xa0xa0xa0xa0xa0xa0xa0,110
1964,Rock,people,108
1964,Rock,thee,105
1964,Rock,two,104
1964,Unknown,bateman,755
1964,Unknown,one,562
1964,Unknown,said,548
1964,Unknown,says,413
1964,Unknown,would,357
1964,Unknown,time,330
1964,Unknown,little,324
1964,Unknown,could,322
1964,Unknown,know,321
1964,Unknown,man,288
1964,Unknown,back,282
1964,Unknown,feat,281
1964,Unknown,get,275
1964,Unknown,old,272
1964,Unknown,see,257
1964,Unknown,never,253
1964,Unknown,love,253
1964,Unknown,well,238
1964,Unknown,good,232
1964,Unknown,come,222
1964,Unknown,people,213
1964,Unknown,way,206
1964,Unknown,say,205
1964,Unknown,got,202
1964,Unknown,still,201
1965,Avant-Garde & Experimental,love,21
1965,Avant-Garde & Experimental,way,21
1965,Avant-Garde & Experimental,believe,19
1965,Avant-Garde & Experimental,shes,17
1965,Avant-Garde & Experimental,time,16
1965,Avant-Garde & Experimental,hes,16
1965,Avant-Garde & Experimental,well,15
1965,Avant-Garde & Experimental,would,14
1965,Avant-Garde & Experimental,magic,13
1965,Avant-Garde & Experimental,want,12
1965,Avant-Garde & Experimental,home,12
1965,Avant-Garde & Experimental,ill,11
1965,Avant-Garde & Experimental,see,11
1965,Avant-Garde & Experimental,tell,11
1965,Avant-Garde & Experimental,coming,10
1965,Avant-Garde & Experimental,one,8
1965,Avant-Garde & Experimental,make,8
1965,Avant-Garde & Experimental,thats,8
1965,Avant-Garde & Experimental,day,8
1965,Avant-Garde & Experimental,find,8
1965,Avant-Garde & Experimental,back,8
1965,Avant-Garde & Experimental,try,7
1965,Avant-Garde & Experimental,morning,7
1965,Avant-Garde & Experimental,said,7
1965,Avant-Garde & Experimental,movin,7
1965,Blues & Soul,peter,350
1965,Blues & Soul,know,276
1965,Blues & Soul,get,275
1965,Blues & Soul,love,268
1965,Blues & Soul,got,214
1965,Blues & Soul,well,197
1965,Blues & Soul,going,196
1965,Blues & Soul,come,189
1965,Blues & Soul,thats,187
1965,Blues & Soul,want,179
1965,Blues & Soul,back,176
1965,Blues & Soul,see,175
1965,Blues & Soul,right,172
1965,Blues & Soul,one,168
1965,Blues & Soul,michael,159
1965,Blues & Soul,make,157
1965,Blues & Soul,say,150
1965,Blues & Soul,dont,146
1965,Blues & Soul,said,145
1965,Blues & Soul,trump,143
1965,Blues & Soul,people,137
1965,Blues & Soul,think,136
1965,Blues & Soul,take,135
1965,Blues & Soul,let,130
1965,Blues & Soul,would,126
1965,Children's,yesterday,9
1965,Children's,well,8
1965,Children's,big,7
1965,Children's,play,5
1965,Children's,star,5
1965,Children's,movies,5
1965,Children's,make,5
1965,Children's,see,4
1965,Children's,act,4
1965,Children's,know,4
1965,Children's,naturally,4
1965,Children's,away,3
1965,Children's,believe,3
1965,Children's,theyre,3
1965,Children's,part,3
1965,Children's,need,3
1965,Children's,man,3
1965,Children's,ill,3
1965,Children's,gotta,3
1965,Children's,biggest,2
1965,Children's,come,2
1965,Children's,dont,2
1965,Children's,easy,2
1965,Children's,ever,2
1965,Children's,bet,2
1965,Christian,one,29
1965,Christian,ringo,26
1965,Christian,doo,25
1965,Christian,every,24
1965,Christian,got,21
1965,Christian,youre,20
1965,Christian,world,20
1965,Christian,well,18
1965,Christian,big,18
1965,Christian,make,18
1965,Christian,may,17
1965,Christian,wacka,16
1965,Christian,let,16
1965,Christian,old,16
1965,Christian,day,14
1965,Christian,love,14
1965,Christian,say,14
1965,Christian,get,13
1965,Christian,heart,12
1965,Christian,away,11
1965,Christian,free,11
1965,Christian,dont,10
1965,Christian,tell,10
1965,Christian,thats,10
1965,Christian,four,10
1965,Classical,back,7
1965,Classical,crawling,6
1965,Classical,know,3
1965,Classical,youve,2
1965,Classical,need,2
