album_id,album_name,popularity,total_tracks,album_type,artist_id
011UzLpw33J2xUbAXpSLaW,Chanson,32,4,single,4dXyuP5DZURgEyaBEas4H9
012wybQlwIzwi8a6rp3hAU,The Best Of Both Worlds,46,13,album,2jqLJvBYhbA8qNe37kbSaU
0130xVqd1BZNqC322SMlh9,Sue Saad And The Next,15,13,album,556WDodULInDvy7Q1n0fff
0134PcbNwuTroUVYlzWsiy,"Blood, Sweat & Tears Greatest Hits",34,13,compilation,24GaH9tRBgZjlvOhpFuKi2
0140QqQJs3TXcXZFqONYGj,The Movie Album,6,11,album,7Kfrmups2Z3ncDQmNS5jRc
014I87KZm7mQz9jktEwcle,Todo Tiene Su Hora,0,1,single,5UloVKzUNJcjORzhhTWWiJ
018wTGlnjLrh5FcUjgMOXV,Success Is Certain,35,13,album,6DVipHzYsPlIoA0DW8Gmns
019Ndq5B31acHoex5atx30,Inside Straight,11,8,album,2o346NHhUAlVxl5uXBVxK7
01BDvvmvqIRdUQFZq3L4Dx,Live at the O2 Arena + Rarities,38,30,album,4DWX7u8BV0vZIQSpJQQDWU
01c1PLpIdfwy47yid7GqKB,Head To The Sky,42,6,album,4QQgXkCYTt3BlENzhyNETg
01CXH1bUbKfVpQ7RUHFzLv,Lift,26,13,album,7m60UAnbgFFNuJbmS6OxTk
01Cxr6WAJsUgFqTOzeZzee,Hole in the Wall,3,12,album,7bLXrEtUSiPKnHOteVuzbt
01d9OZQwyzsy0V7SAXPFsk,Stars & Stripes Forever,20,24,album,7y70dch6JuuuNnwlsOQvwW
01dcOm8Whefyve6zChrq9Q,Selfish Machines,62,12,album,4iJLPqClelZOBCBifm8Fzv
01dMt0yZoVH40nj54L8Mkg,Dinner At The Ritz,18,22,album,08dazMCiWeKkomvpDLSetA
01ElCbl9F2kHyDJfTCCNIZ,September Song,37,10,album,5FNHfTn3yzVpqdUyWwej0v
01EuUZ36qpUX5nMg26X4aS,Remember Two Things,30,12,album,2TI7qyDE0QfyOlnbtfDo7L
01FCoGEQ3NFWF4fHJzdiax,Madvillainy,68,22,album,2aoFQUeHD1U7pL098lRsDU
01FqJwpa24Vfb8DI6sZI6B,Pronounced Jah-Nay,55,13,album,6cjSmkVvMvyE6tCAo1M9Is
01gnLdVDtDGFd8nmLL1U18,#1's,50,16,compilation,1Y8cdNmUJH7yBTd9yOvr5i
01hp4DvayKlnqUQrmk0vvz,A Fever You Can't Sweat Out,70,13,album,20JZFwl6HVl6yg8a4H3ZqK
01hzRHKB7fAfPKx6ip4TOQ,Would You Lay With Me (In A Field Of Stone),0,2,single,76XE4h4VXk8KbLJallt9Ym
01jBkqMwykqy65PCUr3uEs,Truce,11,9,album,0MAvx5yzdhylg2ztJC3MD3
01jg12k9pa2Xjr7CteCYMA,The Original Monster Mash,3,12,album,1QM4zJDvUZPB1oX0pGLkjg
01JlyrLYS4uU1259adZAhV,10,42,12,album,55qiaow2sDYtjqu1mwRua6
01l3jTY261V3CESZR4dABz,Man of the Woods,73,16,album,31TPClRtHm23RisEBtV3X7
01LbN9qrriyUJSn0eQI4HE,The Amazing Spider-Man 2,38,21,compilation,0LyfQWJT6nXafLPZqxe9Of
01lJjCxlvrddTRzIbtKHmP,Victory Lap,52,15,album,7qpy5KY3DVrezixTl6mziA
01m3EzPehzCnh4CKgxJKVn,Alive In South Africa,47,31,album,77HU1Zb1VDIFvWKteJii0E
01N6KffYbo6r4FDC8U5K7u,Autograph,29,11,album,7EK1bQADBoqbYXnT4Cqv9w
01Nddbmp0xogld9Wd5N3Yt,Christmas The Gift,6,12,album,4AwLiAGc1rRLrCepj5rdTI
01OhPa84ZZEYBZl2Lvo4iZ,IMMIGRANT,58,11,album,0FOWNUFHPnMy0vOw1siGqi
