year,genre,word,count
1964,Other,lady,20
1964,Other,know,18
1964,Other,say,17
1964,Other,work,16
1964,Other,get,13
1964,Other,let,13
1964,Other,name,13
1964,Other,bits,12
1964,Other,tell,11
1964,Other,time,11
1964,Other,long,11
1964,Other,little,11
1964,Other,bed,10
1964,Other,fee,9
1964,Other,fanna,9
1964,Other,children,8
1964,Other,always,7
1964,Other,bad,7
1964,Other,leave,7
1964,Other,never,7
1964,Other,said,7
1964,Other,way,7
1964,Pop,one,1583
1964,Pop,says,1278
1964,Pop,know,1134
1964,Pop,would,973
1964,Pop,man,860
1964,Pop,see,849
1964,Pop,get,787
1964,Pop,say,694
1964,Pop,said,691
1964,Pop,could,683
1964,Pop,never,664
1964,Pop,tell,650
1964,Pop,little,645
1964,Pop,mam,639
1964,Pop,love,608
1964,Pop,back,605
1964,Pop,time,603
1964,Pop,come,599
1964,Pop,way,583
1964,Pop,day,559
1964,Pop,good,557
1964,Pop,people,530
1964,Pop,right,520
1964,Pop,two,519
1964,Pop,state,512
1964,R&B & Funk,says,382
1964,R&B & Funk,joe,120
1964,R&B & Funk,brown,109
1964,R&B & Funk,one,104
1964,R&B & Funk,citizen,87
1964,R&B & Funk,old,83
1964,R&B & Funk,man,75
1964,R&B & Funk,bloody,74
1964,R&B & Funk,please,71
1964,R&B & Funk,bloom,67
1964,R&B & Funk,alf,57
1964,R&B & Funk,good,54
1964,R&B & Funk,would,52
1964,R&B & Funk,love,51
1964,R&B & Funk,got,47
1964,R&B & Funk,two,47
1964,R&B & Funk,said,47
1964,R&B & Funk,new,47
1964,R&B & Funk,time,47
1964,R&B & Funk,god,45
1964,R&B & Funk,see,45
1964,R&B & Funk,little,43
1964,R&B & Funk,back,41
1964,R&B & Funk,black,41
1964,R&B & Funk,know,37
1964,Reggae,love,11
1964,Reggae,lollipop,11
1964,Reggae,boy,10
1964,Reggae,sweet,9
1964,Reggae,william,8
1964,Reggae,need,7
1964,Reggae,heart,4
1964,Reggae,never,4
1964,Reggae,yes,4
1964,Reggae,whoa,4
1964,Reggae,make,3
1964,Reggae,let,3
1964,Reggae,know,3
1964,Reggae,giddyup,3
1964,Reggae,candy,2
1964,Reggae,desire,2
1964,Reggae,doll,2
1964,Reggae,favorite,2
1964,Reggae,fire,2
1964,Reggae,little,2
1964,Reggae,one,2
1964,Reggae,set,2
1964,Reggae,thrill,2
