song_rank,release_year,song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
40,1964,3XqTmJFE8Tnm0hn5dNeUEG,156360,8,1,4,0.560000,0.547,0.19500,0.0000182,0.1270,-11.234,0.0296,0.4680,85.457
41,1964,4u3hbJHvz3ROzMi7gLm7x0,149827,7,1,4,0.694000,0.653,0.64900,0.0000000,0.7480,-9.534,0.0400,0.8340,131.133
42,1964,31A3oqQxDLdG9HRx45z62d,158200,7,1,4,0.103000,0.602,0.68400,0.0000000,0.1750,-8.021,0.0290,0.9610,133.000
43,1964,6kSg0raJ0yEoHPZIVMeSmj,131440,6,1,4,0.601000,0.609,0.64500,0.0000000,0.5130,-8.493,0.0433,0.9620,84.863
44,1964,4CihRvhDabPlxNXr9hfxDx,133000,1,1,4,0.884000,0.504,0.45900,0.0000000,0.3170,-9.918,0.0319,0.7260,124.937
45,1964,4GTSIdVIP1zCCqXnHPewrZ,154000,5,1,4,0.836000,0.621,0.45800,0.0000000,0.1630,-9.344,0.0423,0.7870,123.279
46,1964,27M1TykdEo1TQc00E6gi0f,156965,0,1,4,0.381000,0.587,0.36100,0.0000000,0.2060,-13.296,0.0518,0.8680,125.500
47,1964,20CbPMLzu20Pzwd0orVsVG,222728,0,1,4,0.936000,0.328,0.32200,0.0000147,0.1250,-8.006,0.0316,0.1780,85.551
48,1964,0LTSNmOLBt25GMjHlxp9OR,155640,5,1,4,0.194000,0.689,0.52700,0.0784000,0.2780,-9.934,0.0314,0.7770,110.519
49,1964,5NkT19r4Y4MjxnTrcKudB8,134560,9,1,4,0.035900,0.443,0.93600,0.0001170,0.0750,-3.171,0.0474,0.9420,146.886
50,1964,7DSlXCe1TsCW3AWBgJ4YPp,142200,3,1,4,0.652000,0.631,0.43200,0.0003960,0.1050,-11.478,0.0434,0.8710,128.171
51,1964,5L1DIODUFYbObdwx7AJnZM,171707,4,1,4,0.678000,0.310,0.33400,0.0000000,0.3810,-13.804,0.0307,0.3150,80.060
52,1964,6FT83pFXKhDlXDsNJFAHWz,161907,7,1,4,0.731000,0.525,0.85200,0.0000511,0.2180,-9.519,0.2220,0.8840,157.404
53,1964,2xZPpUIcajScKX99PH0fD9,122344,9,0,4,0.413000,0.918,0.48900,0.0006550,0.0795,-13.850,0.1930,0.9620,100.406
54,1964,72plKUMMWddDvYDVMqk4Nl,149000,1,1,5,0.873000,0.232,0.19300,0.0000000,0.1170,-16.508,0.0318,0.1800,49.395
55,1964,5zyYjd6yeJsO37EHGDhv5M,156187,0,1,4,0.552000,0.521,0.59400,0.0000340,0.4360,-8.438,0.0268,0.7720,127.660
56,1964,6K8EH4jCNjadapChPeiGAW,132133,7,1,4,0.767000,0.576,0.34000,0.0184000,0.1580,-12.179,0.0276,0.6100,75.640
57,1964,2InR8wwGrb3AVMmg4luLRy,175800,10,1,4,0.749000,0.394,0.53600,0.0000000,0.2440,-10.762,0.0572,0.3820,134.670
58,1964,6fLTxkL2wgC40fBM6IIe7r,206440,0,1,4,0.023900,0.603,0.68900,0.0000033,0.3300,-10.729,0.0304,0.7610,99.088
59,1964,0CxAi3kh5HrRsYVU6d6X2a,172400,0,1,4,0.685000,0.671,0.33400,0.0000000,0.0694,-9.122,0.0299,0.5730,110.899
60,1964,3Syh6q1I97iVDXoAa1e6J7,119000,10,1,4,0.675000,0.370,0.73100,0.0000022,0.8290,-9.515,0.0751,0.5720,65.857
61,1964,0yYUeEc8Wp7c5pHPvDbRTO,111733,0,1,4,0.010200,0.607,0.67000,0.0000000,0.0760,-8.887,0.0448,0.9070,127.101
62,1964,71Upx7K1I1jInEEJpsFWLw,184200,3,1,4,0.638000,0.300,0.83800,0.0016600,0.4230,-7.290,0.0672,0.6940,181.868
63,1964,4RP1czjLoErBuEQui5hCrC,156907,7,1,4,0.803000,0.348,0.21000,0.0000000,0.1540,-15.645,0.0325,0.3850,73.146
64,1964,6gKqhbNsePszT9pyRtBlKN,189400,3,1,4,0.713000,0.516,0.70300,0.0000000,0.2460,-9.385,0.0614,0.9110,186.500
65,1964,23kC1wLVajqmlKE0gTVGMI,158947,0,1,4,0.019200,0.529,0.78900,0.0015700,0.1090,-7.551,0.0716,0.8510,92.175
66,1964,0KOE1hat4SIer491XKk4Pa,191160,10,1,3,0.760000,0.212,0.42000,0.0000000,0.3070,-9.919,0.0344,0.4930,169.555
67,1964,2zj9gFQKLE9PhSW5vZXfMp,152320,4,1,4,0.534000,0.294,0.49300,0.0000000,0.2970,-6.695,0.0294,0.4030,134.891
68,1964,7CRJV0qUMAxftqySiPazpK,344960,9,0,4,0.076300,0.582,0.95400,0.8330000,0.0872,-6.122,0.2150,0.6320,131.288
69,1964,0InNB7XxKf6hEBMWki1Mrf,198080,4,1,3,0.828000,0.495,0.40700,0.0000093,0.1470,-17.378,0.0315,0.4310,73.063
70,1964,2FLnILYgHX4Ms14CLM0kqW,185388,0,1,4,0.426000,0.583,0.33600,0.0000000,0.1330,-12.063,0.0265,0.6280,98.498
71,1964,33rD6SNq045sbLZprvr74p,180680,10,1,4,0.912000,0.238,0.16300,0.0042400,0.2080,-19.065,0.0325,0.4820,70.538
72,1964,5l3KQsETL44ZCNtuMrGJkz,199093,5,1,4,0.855000,0.526,0.26000,0.0004060,0.1350,-13.600,0.0319,0.5750,78.626
73,1964,2lDArps4owX3Q6rOIA4Osp,143307,0,1,4,0.723000,0.477,0.89500,0.0000000,0.7910,-6.630,0.0586,0.9630,167.201
74,1964,5OBriDrN0dLdVcPyuGS5m8,133267,7,0,4,0.764000,0.583,0.48600,0.0000000,0.1110,-9.315,0.0675,0.8120,73.354
75,1964,4RpzG7AtTknnq1yGNSmo3w,144400,5,1,4,0.783000,0.231,0.31500,0.0006520,0.4870,-10.560,0.0369,0.1110,82.815
76,1964,7H44fHdgforQJiYp1dSsH6,133200,4,0,4,0.704000,0.435,0.89900,0.0000211,0.5830,-6.015,0.0831,0.5320,119.636
76,1964,39kie4P9r2qYp5AgE41gRw,118627,2,1,4,0.497000,0.410,0.77500,0.0000000,0.1990,-5.206,0.0485,0.7150,131.412
78,1964,5umbw3dTR8vGjhsFLjZg9r,177067,0,1,4,0.885000,0.553,0.33500,0.0000000,0.4500,-12.156,0.0574,0.2790,123.715
79,1964,4JNM9O0MEDPO24ETNSq4zs,117373,0,1,4,0.368000,0.588,0.70500,0.8300000,0.0762,-11.449,0.0369,0.7200,149.168
80,1964,0MCH9gCM4CphdKB6NWivyQ,152960,7,0,3,0.791000,0.521,0.50600,0.0000000,0.1240,-8.906,0.0379,0.6300,79.879
81,1964,7oWWiJW6cVFGfd5jAlO59W,140973,11,1,4,0.377000,0.697,0.76600,0.0000000,0.5780,-7.041,0.1070,0.9640,172.010
82,1964,09gknDR3a0YmcLsuGUswQr,149582,10,1,4,0.618000,0.641,0.46500,0.0000000,0.0930,-8.842,0.0598,0.9130,118.756
83,1964,6DbFaoM3IQzZpZyiNuZJca,140000,6,1,4,0.146000,0.355,0.86100,0.0000000,0.2790,-5.942,0.2060,0.7430,170.443
84,1964,3Wtlrgl7wlDUg2OLpG8UY0,152120,4,1,4,0.623000,0.711,0.53000,0.0000000,0.3370,-14.402,0.0415,0.8870,111.951
85,1964,05VKlP9ho9Pd1RqjNQQ8Bd,160000,3,0,3,0.656000,0.299,0.39600,0.0000043,0.1890,-10.168,0.0288,0.6660,180.425
86,1964,1E2KpZ7zDfhtoY7Rwg0A11,138527,0,1,3,0.654000,0.405,0.58500,0.3290000,0.6450,-0.045,0.0312,0.5840,185.599
87,1964,7MfympqWLMGXftSmPWY3W2,170307,8,1,4,0.630000,0.332,0.49500,0.0000011,0.3270,-11.345,0.0348,0.6580,113.194
88,1964,0lfIVV1uZD5m0c0I2iQymH,201173,0,1,4,0.597000,0.478,0.49300,0.0013900,0.2610,-13.809,0.0316,0.6070,103.154
89,1964,1i2LC3Qc4rqTyyKQloxb0T,146227,0,1,4,0.493000,0.583,0.66300,0.0000000,0.3030,-7.536,0.0296,0.9400,97.005
